不雜,མ་འདྲེས་པ
本事,དེ་ལྟ་བུ་བྱུང་བ
勤勵,བརྩོན་འགྲུས་རྩོམ་པ
斷,གཅོད་པ
圓滿,ཡོངས་སུ་རྫོགས་པར་བྱས་ནས
有勢力,མཐུ་ཡོད་པ
作明,སྣང་བར་བྱེད་པ
若轉若還,འཇུག་པ་དང་ལྡོག་པ
不復思惟,ཡིད་ལ་མ་བྱས་པ
染,འབགས་པ
照了,གསལ་བར་བྱེད་པ
勇悍,གཟེངས་མཐོ་བ
法攝受,ཆོས་ཉེ་བར་སྒྲུབ་པ
執常増益,རྟག་པར་འཛིན་པས་སྒྲོ་འདོགས་པ
止息,ཉེ་བར་ཞི་བ
自知,དམ་བཅས་པ
十智,ཤེས་པ་བཅུ
施與,སྦྱིན་པ་སྦྱིན་པར་བྱེད་པ
灌油,སྣུམ་ལྡུགས་པ
車軸,གཤོལ་མདའ
僧衆和合白四羯磨,དགེ་འདུན་མཐུན་པས་གསོལ་བ་དང་བཞིའི་ལས
最極寂靜,མཆོག་ཏུ་ཞི་བ
所譏論,ཀླན་ཀ་བཙལ་བ
相隣相屬之法,མི་འབྲལ་བའི་ཆོས་དང་འབྲེལ་བ
悲歎,མྱ་ངན་བྱེད
自師,བདག་ཉིད་ཀྱི་སྟོན་པ
離欲想,འདོད་ཆགས་དང་བྲལ་བའི་འདུ་ཤེས
衆生,གང་ཟག
心無倦,ཡིད་ཡོངས་སུ་མི་སྐྱོ་བ
好人,སྐྱེས་བུ་དམ་པ
非愛似愛,མི་སྙན་པ་ལ་སྙན་པར་གྲགས་པ
名聞,སྙན་པ
正行果,ཡང་དག་པའི་བསྒྲུབས་པའི་འབྲས་བུ
求已,ཡོངས་སུ་བཙལ་ནས
習不善,མི་དགེ་བ་ལ་གོམས་པ
精進勤加行,བརྩོན་འགྲུས་རྩོམ་པར་སྦྱོར་བ
非---所能劫奪,དབྲོག་ཏུ་མེད་པ
顯了論,མངོན་པར་གསལ་བར་སྨྲ་བ
譬喩,དཔེ
引攝,འདུན་པར་བྱེད་པ
交議,ཀུན་ཏུ་ཐ་སྙད་བྱར
謗聖邪見,འཕགས་པ་ལ་སྐུར་བ་འདེབས་པའི་ལོག་པར་ལྟ་བ
論,བསྟན་བཅོས
歌舞,བྲོ་གར
見大過失,ཉེས་པར་ལྟ་བ
迦末羅病,མིག་སེར་གྱི་ནད
懷苦惱不安隱住,སྡུག་བསྔལ་ཞིང་རེག་པར་མི་གནས་པ
眼處,མིག་གི་སྐྱེ་མཆེད
損減實事,ཡོད་པའི་དངོས་པོ་འཇིག་པ
隍塹,འོབས
所未證,མངོན་སུམ་དུ་མ་བྱས་པ
居家,ཁྱིམ
於能知智無智縛,ཤེས་པ་མི་ཤེས་པའི་འཆིང་བ
轉生善戒,དགེ་བ་ལ་འཇུག་པའི་ཚུལ་ཁྲིམས
此義中,དོན་གྱི་སྐབས་འདིར
相違,འཁྲུགས་པ
無間作,རྒྱུན་དུ་བྱེད་པ
麁獷,རྩུབ་མོ
善現,རབ་འབྱོར
不能堪忍,བཟོད་པ་མེད་པ
善酬答,ལན་འདེབས་ནུས
用,དགོས་པ
第一義建立,དོན་དམ་པ་རྣམ་པར་གཞག་པ
艱難,ཚེགས་ཆེན་པོ
承事,རིམ་གྲོ་བྱ་བ
染惱心,ཀུན་ནས་ཉོན་མོངས་པ་ཅན་གྱི་སེམས
定心,སེམས་མཉམ་པར་བཞག་པ
澄清性,དང་བའི་རང་བཞིན
王位,འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་སྲིད
能荷擔,ཁུར་ཁྱེར་བར་བྱེད་པ
不捨善軛者,བརྩོན་པ་མི་འདོར་བ
一爲多,གཅིག་ཏུ་གྱུར་ནས་མང་པོར་འགྱུར་བ
非共所知,མ་གྲགས་པ
能引有,འཕེན་པའི་སྲིད་པ
持心而住,སེམས་གཏོད་པ
悦耳,རྣར་སྙན་པ
他言音,གཞན་གྱི་སྒྲ
他所證,གཞན་རྣམས་ཀྱིས་ཐོབ་པ
親屬,བུ་སྨད་ཀྱི་འཁོར
資具衰損,ཡོ་བྱད་རྒུད་པ
望---歡,དགའ་བར་བྱ་བར་འདོད་པ
食,ཟོས་པ
非色分,གཟུགས་མེད་པའི་ཤས
尊勝,ཐོས་པའི་ཁྱད་པར
離有情想,སེམས་ཅན་མེད་པའི་འདུ་ཤེས
起,ཉེ་བར་གནས་པ
爲勝,ཁྱད་པར་དུ་འཕགས་པ
聚落,གྲོང་དང་གྲོང་ཁྱེར་དང་གྲོང་རྡལ་དང་ཡུལ་འཁོར
先止後食,ཟས་ཕྱིས་མི་ལེན་པ
彼種類,དེ་དང་འདྲ་བ
大衆,སྐྱེ་བོ་ཕལ་པོ་ཆེ
悲愍,སྙིང་བརྩེ་བ
所作成辦,སྒྲུབ་པའི་འབྲས་བུ་ཡོངས་སུ་གྲུབ་པ
永斷,ཡོངས་སུ་གཏུགས་པ
無相界,མཚན་མ་མེད་པའི་དབྱིངས་ཉིད
無果,འབྲས་བུ་མེད་པ
恭敬供養,བླ་མར་བྱེད་རིམ་གྲོ་བྱེད་མཆོད་པར་བྱེད
禁制,ཡང་དག་པར་སྡོམ་པ
攝受,ཀུན་ཏུ་འཛིན་པ
變悔,ཡིད་ལ་གཅགས་པ་དང་བཅས་པ
爾,དེ་དག་ལྟ་བུ
劣鄙穢性,ངན་པ་གྲོང་བ་ཕལ་པ
善護,ལེགས་པར་བསྲུངས་པ
鹽味,ལན་ཚབ༹འི་རོ
不相扶順,མི་མཐུན་པ་དང་འབྲེལ་བ་མེད་པ
不可説,བརྗོད་དུ་མེད་པ་ཉིད
皆,ཀུན
言過,བརྗོད་པའི་ཉེས་པ
身染著,ལུས་ལ་མངོན་པར་ཞེན་པ
上,མཆོག
衆縁有故生,རྐྱེན་ཡོད་ན་སྐྱེ་འགྱུར་བ
於所坐處能正安坐,ཡང་དག་པར་སྟན་ལ་འདུག་པ
黒,ནག་པོ
最強者,ཆེས་སྟོབས་དང་ལྡན་པ
相違,འགལ་བ་ཉིད
愚癡,རྨོངས་པ
屠,གསོད་པ
廣,ཡངས་པ
變怪相,མཚན་མ་མི་སྡུག་པ
無有救護,སྐྱབས་མེད་པ
受持,ལུང་འབོགས་པ
難了,རྟོགས་པར་དཀའ་བ
五下分結,འོག་མའི་ཆ་ལྔ་ལ་ཀུན་ཏུ་སྦྱོར་བ
不信解,མོས་པར་མ་གྱུར་པ
自性假立,ངོ་བོ་ཉིད་དུ་བཏགས་པ
下類,རིགས་དམན་པ
諦勝解,བདེན་པར་མོས་པ
各各分散,སོ་སོར་འཐོར་བ
捨,བསྒྱུར་ཏེ
有惱,གནོད་པ་དང་བཅས་པ
無垢,དྲི་མ་མེད་པ
壽量具足,ཚེ་ཕུན་སུམ་ཚོགས་པ
衰損,མི་རྙེད་པ
顰蹙而住,ཡུལ་ཡུལ་པོར་གནས་པར་བྱེད་པ
無礙無著,ཐོགས་པ་མེད་ཅིང་ཆགས་པ་མེད་པ
不可説示他,གཞན་དག་ལ་བསྟན་དུ་མེད་པ
自心,རང་གི་སེམས
瞋垢,ཞེ་སྡང་གི་དྲི་མ
善士忍,སྐྱེས་བུ་དམ་པའི་བཟོད་པ
稠林,ཐིབས་པོ
自性増益,ངོ་བོ་ཉིད་དུ་སྒྲོ་འདོགས་པ
正所作事,ཡང་དག་པའི་ལས་སུ་བྱ་བ
不違聖言,གསུང་རབ་སྡུད་པ
簡擇住,རྣམ་པར་འབྱེད་པའི་གནས་པ
散財産,ལོངས་སྤྱོད་རྣམས་དང་བྲལ་བ
疹疾,ན་བ
不死尋思,མི་འཆི་བའི་རྟོག་པ
能感一切處阿頼耶識異熟業,ཐམས་ཅད་དུ་ཀུན་གཞི་རྣམ་པར་ཤེས་པ་རྣམ་པར་སྨིན་པར་འགྱུར་བའི་ལས
多隨煩惱,ཉེ་བའི་ཉོན་མོངས་པ་རྣམ་པ་དུ་མ་དག
染汚思慕,ཉོན་མོངས་པ་ཅན་གྱི་འདོད་པ
勝所治尸羅,མི་མཐུན་པའི་ཕྱོགས་ལས་རྒྱལ་བའི་ཚུལ་ཁྲིམས་ཉིད
善宣説,ཀུན་བཤད་པ
倍數,སྲིད
不施與,བཟློག་ནས
無損樂,གནོད་པ་མེད་པ་དང་བདེ་བ
熏習,བག་ཆགས་བསྒོ་བར་བྱེད་པ
呪術,གསང་སྔགས་ཀྱི་ཆོ་ག
隨尋伺,རྗེས་སུ་རྟོག་པ
増益,ལྷག་པར་སྒྲོ་འདོགས་པ
了知法義,ཆོས་ཀྱི་དོན་སོ་སོ་ཡང་དག་པར་རིག་པར་བྱེད་པ
爲業,ལས་ཅན
應得義,ཐོབ་པར་བྱ་བའི་དོན
宅邸肆事,ཁྱིམ་གྱི་དངོས་པོ
出家衆,རབ་ཏུ་བྱུང་བའི་ཕྱོགས
安住,ཉེ་བར་འཇོག་པར་བྱེད་པ
勇猛精勤,བརྩོན་འགྲུས་བརྩམས་པ
非理肉眼,ཚུལ་བཞིན་མ་ཡིན་པའི་ཤའི་མིག
氣,དབུགས
尋,རྟོག་པ
觀察,དཔྱོད་པར་མཛད་པ
唯有諸蘊,ཕུང་པོ་ཙམ
時時,སྐབས་སྐབས་སུ
妙莊嚴車,ཅང་ཤེས་དང་ལྡན་པའི་ཤིང་རྟ
炬,སྒྲོན་མ
賢善夭沒,འཆི་བའི་དུས་བྱེད་པ་བཟང་བ
食人飮食,མིའི་ཁམ་གྱི་ཟས
展轉,གཅིག་ལ་གཅིག་འགྲོགས་ན
淨語,ངག་རྣམ་པར་དག་པ
堅著不捨,དང་དུ་ལེན་པར་བྱེད་པ
歐擊,རྡེག་པར་བྱེད་པ
令修,ཡང་དག་པར་འཛུད་པར་བྱེད་པ
有我見,བདག་ཏུ་ལྟ་བ
順歡喜處随念作意,དགའ་བའི་གནས་ལྟ་བུའི་དྲན་པ་ཡིད་ལ་བྱ་བ
境界護,ཡུལ་སྡོམ་པ
學制立,བསླབ་པ་བཅའ་བ
筋肉,རྒྱུས་པ་དང་ཤ
希願纒,མངོན་པར་འདོད་ཅིང་སྨོན་པའི་ཀུན་ནས་དཀྲིས་པ
於闇相作意思惟,མུན་པའི་མཚན་མ་ཡིད་ལ་བྱེད་པ
雖,ཡང
申,རྐྱོང་བར་བྱེད་པ
渉入,གཏོད་པར་བྱེད་པ
有上想定,གོང་ན་ཡོད་པའི་འདུ་ཤེས་ཀྱི་སྙོམས་པར་འཇུག་པ
安置心於無相界,མཚན་མ་མེད་པའི་དབྱིངས་ལ་སེམས་ཉེ་བར་གཏོད་པ
果時,བྲས་བུའི་ཚེ
諸界,ཁམས
清淨,ཡོངས་སུ་དག་པར་འགྱུར་བ
依,སྐབས་ལས
生願,སྐྱེ་བར་སྨོན་པ
贍部影,ཤིང་འཛམ་བུའི་གྲིབ་མ
退還,ཕྱིར་ལྡོག་པ
水泡,ཆུའི་ཆུ་བུར
忍受,དང་དུ་ལེན་པ
人中良馬,སྐྱེས་བུ་ཅང་ཤེས
遍一切種差別門,རྣམ་པ་ཐམས་ཅད་ཀྱི་རབ་ཏུ་དབྱེ་བ་དག་གི་སྒོ
利益安樂,དོན་བྱ་བ
頓起,ཅིག་ཅར་འབྱུང་བ
十善業道,དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ
厭禱,བྱད་སྟེམས
言論句,བརྗོད་པའི་ཚིག
身住,ལུས་གནས་པར་བྱ་བ
決定發起,ཤིན་ཏུ་ངེས་པར་རྩོམ་པ
妙等覺樂,རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བདེ་བ
審正觀察,ཡང་དག་པར་སེམས་པ
正法眼,ཆོས་ཀྱི་མིག
難得,བསྐྱེད་པར་དཀའ་བ
有色彼同分根,དབང་པོ་གཟུགས་ཅན་དེ་དག་དང་མཚུངས་པ
極淨眼,མིག་ཤིན་ཏུ་རྣམ་པར་དག་པ
煩惱相應之慧,ཉོན་མོངས་པ་དང་མཚུངས་པར་ལྡན་པའི་ཤེས་རབ
生金,གསེར
衆生尊,འགྲོ་བའི་མཆོག
増長,སྤེལ་བ
男女侍衛,སྐྱེས་པ་དང་བུད་མེད་དག་དགའ་མགུར་སྤྱོད་པ
不信受,ཁོང་དུ་མི་ཆུད་པ
鄙言,ངན་དུ་བརྗོད་པ
心離驚恐,ཡིད་ཀུན་ཏུ་དངང་མེད་པ
瞻察,ཡང་དག་པར་སྟོན་པར་བྱེད་པ
重,ལྷུར་ལེན་པ
水頗胝,ཆུ་ཤེལ
採境差別,དམེཨིགས་པ་ལ་མཚན་མར་འཛིན་པའི་དབྱེ་བ
眞實義意樂,དེ་ཁོ་ནའི་དོན་གྱི་བསམ་པ
樹響,ནགས་ཚལ
少小安樂,བདེ་བ་ཆུང་ངུ་ཕྲན་ཚེགས
終,ཕྱིར་ནི
最極微細,མཆོག་ཏུ་ཆ་ཕྲ་བ
到究竟,མཐར་ཐུག་པར་གྱུར་པ
自成熟,བདག་ཉིད་ཡོངས་སུ་སྨིན་པར་བྱེད་པ
増語,ཚིག་བླ་དབ༹གས
不染著,ཀུན་ཏུ་ཆགས་པར་མི་འགྱུར་བ
不越世間,འཇིག་རྟེན་དང་མི་འགལ་བ
習誦者,ཁ་ཏོན་པ
速疾了知,སྐྱེན་པར་རབ་ཏུ་ཤེས་པ
